"box";"file_no";"vid_row_id";"date_";"vid_action";"datetime_vid";"vid_dur";"vid_comment_txt";"vid_act_se"
"92";"006";"n1";92;2017-05-18;"IN";2017-05-18 11:16:42.552;7740;NA;0
"93";"006";"n1";93;2017-05-18;"OUT";2017-05-18 11:16:55.640;7740;NA;0
"94";"006";"n1";94;2017-05-18;"IN";2017-05-18 11:17:25.611;7740;NA;0
"95";"006";"n1";95;2017-05-18;"IN";2017-05-18 11:17:28.747;7740;NA;0
"96";"006";"n1";96;2017-05-18;"OUT";2017-05-18 11:17:39.194;7740;NA;0
"97";"006";"n1";97;2017-05-18;"IN";2017-05-18 11:18:13.878;7740;NA;0
"98";"006";"n1";98;2017-05-18;"OUT";2017-05-18 11:18:20.477;7740;NA;0
"99";"006";"n1";99;2017-05-18;"OUT";2017-05-18 11:18:32.477;7740;NA;0
"100";"006";"n1";100;2017-05-18;"IN";2017-05-18 11:19:19.286;7740;NA;0
"101";"006";"n1";101;2017-05-18;"OUT";2017-05-18 11:19:27.427;7740;NA;0
"102";"006";"n1";102;2017-05-18;"IN";2017-05-18 11:19:29.963;7740;NA;0
"103";"006";"n1";103;2017-05-18;"OUT";2017-05-18 11:20:06.303;7740;NA;0
"104";"006";"n1";104;2017-05-18;"IN";2017-05-18 11:20:59.362;7740;NA;0
"105";"006";"n1";105;2017-05-18;"OUT";2017-05-18 11:21:11.479;7740;NA;0
"106";"006";"n1";106;2017-05-18;"IN";2017-05-18 11:22:21.911;7740;NA;0
"107";"006";"n1";107;2017-05-18;"OUT";2017-05-18 11:22:34.881;7740;NA;0
"108";"006";"n1";108;2017-05-18;"IN";2017-05-18 11:23:29.226;7740;NA;0
"109";"006";"n1";109;2017-05-18;"OUT";2017-05-18 11:23:42.562;7740;NA;0
"110";"006";"n1";110;2017-05-18;"IN";2017-05-18 11:25:35.601;7740;NA;0
"111";"006";"n1";111;2017-05-18;"OUT";2017-05-18 11:26:07.157;7740;NA;0
"112";"006";"n1";112;2017-05-18;"IN";2017-05-18 11:27:32.825;7740;NA;0
"113";"006";"n1";113;2017-05-18;"OUT";2017-05-18 11:27:57.191;7740;NA;0
"114";"006";"n1";114;2017-05-18;"IN";2017-05-18 11:32:00.677;7740;NA;0
"115";"006";"n1";115;2017-05-18;"OUT";2017-05-18 11:32:17.599;7740;NA;0
"116";"006";"n1";116;2017-05-18;"IN";2017-05-18 11:33:53.956;7740;NA;0
"117";"006";"n1";117;2017-05-18;"OUT";2017-05-18 11:34:04.280;7740;NA;0
"118";"006";"n1";118;2017-05-18;"IN";2017-05-18 11:35:03.533;7740;NA;0
"119";"006";"n1";119;2017-05-18;"OUT";2017-05-18 11:35:12.671;7740;NA;0
"120";"006";"n1";120;2017-05-18;"IN";2017-05-18 11:35:53.719;7740;NA;0
"121";"006";"n1";121;2017-05-18;"OUT";2017-05-18 11:36:03.533;7740;NA;0
"122";"006";"n2";122;2017-05-18;"IN";2017-05-18 11:38:02.237;7740;NA;0
"123";"006";"n2";123;2017-05-18;"OUT";2017-05-18 11:38:32.115;7740;NA;0
"124";"006";"n2";124;2017-05-18;"IN";2017-05-18 11:40:34.877;7740;NA;0
"125";"006";"n2";125;2017-05-18;"OUT";2017-05-18 11:40:50.595;7740;NA;0
"126";"006";"n2";126;2017-05-18;"IN";2017-05-18 11:44:02.756;7740;"die \"jump to\" Funktion funktioniert nicht. Beim zweiten Start von vorne differiert die Zeit um ca. 2 Sekunden";0
"127";"006";"n2";127;2017-05-18;"OUT";2017-05-18 11:44:18.413;7740;NA;0
"128";"006";"n2";128;2017-05-18;"IN";2017-05-18 11:45:46.999;7740;NA;0
"129";"006";"n2";129;2017-05-18;"OUT";2017-05-18 11:46:06.078;7740;NA;0
"130";"006";"n2";130;2017-05-18;"IN";2017-05-18 11:46:53.361;7740;NA;0
"131";"006";"n2";131;2017-05-18;"OUT";2017-05-18 11:47:00.918;7740;NA;0
